"","X","SEAMAP","DEPTH","FLUORO","SALINITY","TEMP","CRUISE","depth","pressure","density","ID","strat","storm"
"136",2983,"B217",2,0.1806,36.34485,28.9187,"SEAMAP",38.3260188087774,2.01434165782838,1023.11013995934,"Q56",0.885000912014789,"Harvey"
"137",2984,"B217",2.2,0.1909,36.3439,28.9316,"SEAMAP",38.3260188087774,2.21577681707997,1023.10596148654,"Q56",0.885000912014789,"Harvey"
"138",2985,"B217",2.4,0.1264,36.2303,28.98455,"SEAMAP",38.3260188087774,2.41721215698143,1023.0036943778,"Q56",0.885000912014789,"Harvey"
"139",2986,"B217",2.6,0.0951,36.2114,28.89245,"SEAMAP",38.3260188087774,2.61864767748252,1023.02122717993,"Q56",0.885000912014789,"Harvey"
"140",2987,"B217",2.8,0.1006,36.2132,28.8955,"SEAMAP",38.3260188087774,2.82008337863347,1023.02241909682,"Q56",0.885000912014789,"Harvey"
"141",2988,"B217",3,0.1013,36.2132,28.89595,"SEAMAP",38.3260188087774,3.02151926043428,1023.02312903605,"Q56",0.885000912014789,"Harvey"
"142",2989,"B217",3.2,0.1,36.21345,28.8987,"SEAMAP",38.3260188087774,3.22295532285984,1023.02325650953,"Q56",0.885000912014789,"Harvey"
"143",2990,"B217",3.4,0.097,36.2141,28.89965,"SEAMAP",38.3260188087774,3.42439156593527,1023.02428742147,"Q56",0.885000912014789,"Harvey"
"144",2991,"B217",3.6,0.0961,36.21495,28.90585,"SEAMAP",38.3260188087774,3.62582798963544,1023.02371000369,"Q56",0.885000912014789,"Harvey"
"145",2992,"B217",3.8,0.0986,36.21465,28.90805,"SEAMAP",38.3260188087774,3.82726459398547,1023.02360817631,"Q56",0.885000912014789,"Harvey"
"146",2993,"B217",4,0.0931,36.21425,28.90825,"SEAMAP",38.3260188087774,4.02870137896025,1023.02410119897,"Q56",0.885000912014789,"Harvey"
"147",2994,"B217",4.2,0.0983,36.2138,28.9072,"SEAMAP",38.3260188087774,4.23013834455978,1023.02497540868,"Q56",0.885000912014789,"Harvey"
"148",2995,"B217",4.4,0.098,36.2144,28.908,"SEAMAP",38.3260188087774,4.43157549080917,1023.02601889554,"Q56",0.885000912014789,"Harvey"
"149",2996,"B217",4.6,0.0987,36.2147,28.90875,"SEAMAP",38.3260188087774,4.63301281773354,1023.02685368007,"Q56",0.885000912014789,"Harvey"
"150",2997,"B217",4.8,0.0995,36.2146,28.90875,"SEAMAP",38.3260188087774,4.83445032525754,1023.02763913593,"Q56",0.885000912014789,"Harvey"
"151",2998,"B217",5,0.0979,36.2149,28.90965,"SEAMAP",38.3260188087774,5.03588801343141,1023.0284236515,"Q56",0.885000912014789,"Harvey"
"152",3165,"B222",5,NA,32.989,27.245,"0505",21,5.03588801343141,1021.14769095248,"Q22",0.0846389652850803,"Rita"
"153",3182,"B221",3,NA,29.685,25.558,"0505",9,3.02151926043428,1019.17638426279,"Q21",0.0459588724213518,"Rita"
"154",3183,"B221",4,NA,29.685,25.555,"0505",9,4.02870137896025,1019.18165588089,"Q21",0.0459588724213518,"Rita"
"155",3184,"B221",5,NA,29.684,25.553,"0505",9,5.03588801343141,1019.18587307737,"Q21",0.0459588724213518,"Rita"
"156",3189,"B219",1,NA,30.639,26.024,"0505",10,1.00716857101695,1019.74409887869,"Q20",0.0587232098670256,"Rita"
"157",3190,"B219",2,NA,30.638,26.025,"0505",10,2.01434165782838,1019.74739728741,"Q20",0.0587232098670256,"Rita"
"158",3191,"B219",3,NA,30.639,26.025,"0505",10,3.02151926043428,1019.75250726636,"Q20",0.0587232098670256,"Rita"
"159",3192,"B219",4,NA,30.639,26.022,"0505",10,4.02870137896025,1019.75778388972,"Q20",0.0587232098670256,"Rita"
"160",3193,"B219",5,NA,30.644,26.022,"0505",10,5.03588801343141,1019.76590414081,"Q20",0.0587232098670256,"Rita"
"161",3199,"B218",2,NA,34.469,26.416,"0505",22,2.01434165782838,1022.51135717423,"Q19",0.267709337407723,"Rita"
"162",3200,"B218",3,NA,34.469,26.406,"0505",22,3.02151926043428,1022.51883302131,"Q19",0.267709337407723,"Rita"
"163",3201,"B218",4,NA,34.47,26.411,"0505",22,4.02870137896025,1022.52234876405,"Q19",0.267709337407723,"Rita"
"164",3202,"B218",5,NA,34.47,26.41,"0505",22,5.03588801343141,1022.52699619782,"Q19",0.267709337407723,"Rita"
"165",3220,"B223",2,NA,35.225,27.203,"0505",50,2.01434165782838,1022.83085304502,"Q23",0.914526464263417,"Rita"
"166",3221,"B223",3,NA,35.224,27.184,"0505",50,3.02151926043428,1022.84052357851,"Q23",0.914526464263417,"Rita"
"167",3222,"B223",4,NA,35.221,27.173,"0505",50,4.02870137896025,1022.84611787478,"Q23",0.914526464263417,"Rita"
"168",3223,"B223",5,NA,35.215,27.165,"0505",50,5.03588801343141,1022.84848932756,"Q23",0.914526464263417,"Rita"
"169",3269,"B217",3,NA,34.629,26.414,"0505",41,3.02151926043428,1022.63691807189,"Q18",0.589658625770312,"Rita"
"170",3270,"B217",4,NA,34.629,26.411,"0505",41,4.02870137896025,1022.64219387011,"Q18",0.589658625770312,"Rita"
"171",3271,"B217",5,NA,34.628,26.409,"0505",41,5.03588801343141,1022.64640135262,"Q18",0.589658625770312,"Rita"
"172",3308,"B221",2,3.777,35.844,30.646,"0604",9,2.01434165782838,1022.14494449007,"Q28",0.133102922874514,"None"
"173",3309,"B221",3,4.139,35.845,30.622,"0604",9,3.02151926043428,1022.15831489089,"Q28",0.133102922874514,"None"
"174",3310,"B221",4,4.322,35.844,30.612,"0604",9,4.02870137896025,1022.16532700496,"Q28",0.133102922874514,"None"
"175",3311,"B221",5,5.064,35.854,30.471,"0604",9,5.03588801343141,1022.22595556737,"Q28",0.133102922874514,"None"
"176",3316,"B222",2,0.503,36.404,29.928,"0604",18,2.01434165782838,1022.81248623743,"Q29",0.240308156866604,"None"
"177",3317,"B222",3,0.459,36.406,29.926,"0604",18,3.02151926043428,1022.81896676293,"Q29",0.240308156866604,"None"
"178",3318,"B222",4,0.557,36.405,29.926,"0604",18,4.02870137896025,1022.82251081642,"Q29",0.240308156866604,"None"
"179",3319,"B222",5,0.616,36.404,29.928,"0604",18,5.03588801343141,1022.825369584,"Q29",0.240308156866604,"None"
"180",3333,"B223",3,0.22,36.477,29.747,"0604",45,3.02151926043428,1022.93347019249,"Q30",2.4680481919894,"None"
"181",3334,"B223",4,0.216,36.477,29.747,"0604",45,4.02870137896025,1022.93776560293,"Q30",2.4680481919894,"None"
"182",3335,"B223",5,0.218,36.477,29.749,"0604",45,5.03588801343141,1022.94137812709,"Q30",2.4680481919894,"None"
